name,clean name,carbon_rating,co2e,lca_farm,lca_processing,lca_packaging,lca_transport,lca_retail,lca_food_waste,source
"Artichoke base, frozen, raw",Frozen Raw Artichoke,2,2.604817871,1.5015528,0.30042207,0.28581962,0.34663204,0.15223182,0.018159521,agribalyse
"North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",North Atlantic Rockweed,4,6.547800933,4.9316244,1.0677105,0.2946594,0.21146804,0.030021296,0.012317297,agribalyse
"Asiago cheese, from cow's milk",Asiago Cheese,4,6.263162655,5.3279117,0.36960883,0.26662691,0.26516523,0.029050683,0.004799302,agribalyse
"Asparagus, canned, drained",Canned Asparagus,2,2.306338436,1.2374336,0.16929655,0.35015645,0.24748768,0.061987426,0.23997673,agribalyse
"Asparagus, white or purple, peeled, raw",Asparagus,1,1.388094676,1.0563045,0,0,0.18387517,0.048350192,0.099564814,agribalyse
"Asparagus, boiled/cooked in water",Boiled Asparagus,2,2.24826358,1.2338989,0,0.3212752,0.34388265,0.12342441,0.22578242,agribalyse
"Asparagus, peeled, raw",Peeled Asparagus,1,1.388094676,1.0563045,0,0,0.18387517,0.048350192,0.099564814,agribalyse
"Asparagus, green, raw",Green Asparagus,1,1.388094676,1.0563045,0,0,0.18387517,0.048350192,0.099564814,agribalyse
"Eggplant, raw",Aubergine,3,5.310359053,5.0919415,0,0,0.16952471,0.036575546,0.012317297,agribalyse
"Eggplant, cooked",Cooked Aubergine,4,6.723304656,5.9480396,0,0.26496924,0.30449494,0.092943356,0.11285752,agribalyse
"Avocado, pulp, raw",Avocado,2,2.749649762,1.7728241,0,0,0.51466861,0.063897792,0.39825926,agribalyse
"Oat, raw",Raw Oats,1,1.222854089,0.79096014,0,0.26940995,0.13232457,0.030159429,0,agribalyse
"Rum baba, prepacked",Rum Baba,1,0.868439057,0.15064495,0.26485253,0.30174306,0.12207786,0.029120657,0,agribalyse
Bagel,Bagel,1,0.747355816,0.34474157,0.16612981,0.096324645,0.13367458,0.006485211,0,agribalyse
Baklava (oriental pastry with almonds and syrup),Baklava,3,4.299855387,3.4954889,0.27368657,0.30175348,0.19980578,0.029120657,0,agribalyse
"Bamboo shoots, raw",Bamboo Shoots,1,1.374656106,1.0563045,0,0,0.1704366,0.048350192,0.099564814,agribalyse
"Bamboo shoots, canned, drained",Canned Bamboo Shoots,2,2.290595496,1.2374336,0.16929655,0.35015645,0.23174474,0.061987426,0.23997673,agribalyse
"Plantain banana, raw",Raw Plantain Banana,1,0.798743994,0.3325408,0,0,0.32670226,0.03993612,0.099564814,agribalyse
"Plantain banana, cooked",Cooked Plantain Banana,2,1.86329826,0.47347476,0,0.39159637,0.62251073,0.12294324,0.25277316,agribalyse
"Banana, pulp, raw",Raw Banana,2,1.86673771,0.65574971,0,0,0.53372688,0.07987224,0.59738888,agribalyse
"Banana, pulp, dried",Dried Banana,3,5.087331643,2.6295563,0.87251748,0.28581962,1.2534424,0.045995843,0,agribalyse
"Mediterranean bass, raw, farmed",Mediterranean Farmed Bass,5,11.93563608,10.618373,0,0.28844568,0.99370943,0.030308663,0.004799302,agribalyse
"Mediterranean bass, raw, wild",Wild Mediterranean Bass,4,9.141567175,7.8243041,0,0.28844568,0.99370943,0.030308663,0.004799302,agribalyse
"European bass, raw",European Bass,5,11.93563608,10.618373,0,0.28844568,0.99370943,0.030308663,0.004799302,agribalyse
"European bass, roasted/baked",Roasted European Bass,5,14.54100348,12.965649,0,0.25734164,1.2133769,0.037008636,0.067627306,agribalyse
"Atlantic bass, raw",Atlantic Bass,5,11.93563608,10.618373,0,0.28844568,0.99370943,0.030308663,0.004799302,agribalyse
"American bass, raw",American Bass,5,11.93563608,10.618373,0,0.28844568,0.99370943,0.030308663,0.004799302,agribalyse
"Coconut bar, with chocolate coating",Chocolate Coconut Bar,3,4.722188269,3.8993219,0.49196599,0.10291973,0.21387565,0.014104999,0,agribalyse
"Biscuit bar filled with fruits, reduced fat",Fruit-Filled Reduced-Fat Biscuit Bar,3,3.395430567,2.7999527,0.30368711,0.10866676,0.15400334,0.029120657,0,agribalyse
"Cereal bar with fruit, fortified with vitamins and minerals",Fruit Cereal Bar,3,3.567203797,2.7999527,0.30368711,0.28588365,0.14855968,0.029120657,0,agribalyse
"Cereal bar with chocolate, fortified with vitamins and minerals",Chocolate Cereal Bar,4,7.721572107,6.8826501,0.36633542,0.2859023,0.15756363,0.029120657,0,agribalyse
Cereal bar with almonds or hazelnuts,Nut Cereal Bar,3,5.050678577,4.2290255,0.32725415,0.28584739,0.17943088,0.029120657,0,agribalyse
Cereal bar w fruit,Fruit Cereal Bar,3,3.567203797,2.7999527,0.30368711,0.28588365,0.14855968,0.029120657,0,agribalyse
Chocolate cereal bar,Chocolate Cereal Bar,4,7.721572107,6.8826501,0.36633542,0.2859023,0.15756363,0.029120657,0,agribalyse
"Milky cereal breakfast bar, with chocolate or not, fortified with vitamins and minerals",Chocolate Cereal Bar,4,7.721572107,6.8826501,0.36633542,0.2859023,0.15756363,0.029120657,0,agribalyse
Toblerone milk cholcolate bar w nougat,Toblerone Milk Chocolate Nougat Bar,3,4.722188269,3.8993219,0.49196599,0.10291973,0.21387565,0.014104999,0,agribalyse
Chocolate bar with biscuit,Chocolate Biscuit Bar,4,8.297387149,7.2212137,0.59716633,0.27529035,0.18961177,0.014104999,0,agribalyse
Coated chocolate bar without biscuit,Chocolate Coated Bar,4,7.140421379,6.5204054,0.34705461,0.10299806,0.15585831,0.014104999,0,agribalyse
"Ice cream, chocolate coated",Chocolate-Coated Ice Cream,2,2.37424496,1.606031,0.30544901,0.20599451,0.18585635,0.052754569,0.018159521,agribalyse
"Chocolate snack bar, dairy filling",Chocolate Dairy Snack Bar,4,8.130296499,7.2212137,0.59716633,0.10297038,0.19484109,0.014104999,0,agribalyse
"Chocolate snack bar, dairy filling with sponge cake",Chocolate Sponge Cake Bar with Dairy Filling,4,8.130296499,7.2212137,0.59716633,0.10297038,0.19484109,0.014104999,0,agribalyse
"Chocolate confectionery or bar, with dairy filling",Chocolate Dairy Filled Bar,4,8.130296499,7.2212137,0.59716633,0.10297038,0.19484109,0.014104999,0,agribalyse
cream sauce for pizza base,Cream Sauce,3,4.004718387,3.116924,0.63107598,0.10860273,0.11899502,0.029120657,0,agribalyse
Tomato sauce for pizza base,Pizza Tomato Sauce,1,0.773507277,0.27818016,0.17177889,0.10860273,0.18582484,0.029120657,0,agribalyse
"Basil, fresh",Fresh Basil,1,0.953486047,0.32375374,0,0.33443152,0.16406077,0.031675203,0.099564814,agribalyse
"Basil, dried",Dried Basil,1,1.011373501,0.25900299,0,0.49690685,0.17690961,0.078554051,0,agribalyse
"Beaufort cheese, from cow's milk",Beaufort Cheese,4,6.263162655,5.3279117,0.36960883,0.26662691,0.26516523,0.029050683,0.004799302,agribalyse
Doughnut filled with jam,Jam Doughnut,1,1.411666527,0.72739085,0.20337476,0.30181399,0.14996627,0.029120657,0,agribalyse
Shrimp fritters,Shrimp Fritters,2,2.662549373,1.5589271,0.33983318,0.29058195,0.37595565,0.030685111,0.066566382,agribalyse
Vegetable fritters,Vegetable Fritters,1,1.414321518,0.76037199,0.18531285,0.21224074,0.21298475,0.030685111,0.012726077,agribalyse
"Meat, poultry or fish fritters, home-made",Homemade Fritters,3,5.464999723,4.0993753,0.56469733,0.49678526,0.20689034,0.030685111,0.066566382,agribalyse
"Doughnut filled with fruits, prepacked",Fruit-Filled Doughnut,2,2.628254457,1.9388654,0.2262104,0.30181482,0.13224318,0.029120657,0,agribalyse
"Doughnut filled with chocolate, prepacked",Chocolate Doughnut,4,5.963096927,4.9156472,0.5130967,0.30180363,0.20342874,0.029120657,0,agribalyse
"Doughnut, plain",Plain Doughnut,1,1.428702627,0.77055268,0.19652996,0.30182725,0.13067208,0.029120657,0,agribalyse
"Swiss chard, raw",Swiss Chard,1,0.479970098,0.15247388,0,0,0.1704366,0.057494804,0.099564814,agribalyse
"Swiss chard, cooked",Cooked Swiss Chard,1,1.20129314,0.17810901,0,0.3212752,0.32818468,0.14794183,0.22578242,agribalyse
"Beetroot, raw",Beetroot,1,0.249300313,0.072311127,0,0,0.14056627,0.024105619,0.012317297,agribalyse
"Beetroot, cooked",Cooked Beetroot,1,0.871704362,0.084468654,0,0.3441999,0.27066778,0.059510508,0.11285752,agribalyse
"Butter, light, 39-41% fat, unsalted",Lightly Unsalted Butter,5,15.49116988,14.494556,0.57399261,0.20585948,0.1800882,0.031874285,0.004799302,agribalyse
"Butter, 60-62% fat, light, lightly salted",Lightly Salted Butter,5,15.49451286,14.494556,0.57733559,0.20585948,0.1800882,0.031874285,0.004799302,agribalyse
"Butter, 60-62% fat, light, unsalted",Light Unsalted Butter,5,15.49116988,14.494556,0.57399261,0.20585948,0.1800882,0.031874285,0.004799302,agribalyse
"Butter, 80% fat, lightly salted",Lightly Salted Butter,5,15.49451286,14.494556,0.57733559,0.20585948,0.1800882,0.031874285,0.004799302,agribalyse
"Butter, 80% fat, salted",Salted Butter,5,15.49451286,14.494556,0.57733559,0.20585948,0.1800882,0.031874285,0.004799302,agribalyse
"Butter, 82% fat, unsalted",Unsalted Butter,5,15.49116988,14.494556,0.57399261,0.20585948,0.1800882,0.031874285,0.004799302,agribalyse
"Butter, 82% fat, unsalted, easy-to-spread",Easy Spread Butter,5,15.49116988,14.494556,0.57399261,0.20585948,0.1800882,0.031874285,0.004799302,agribalyse
Peanut butter or peanut paste,Peanut Butter,3,3.314468004,2.1314911,0.10490262,0.36922143,0.23760759,0.072986004,0.39825926,agribalyse
Cocoa butter,Cocoa Butter,5,26.53553378,25.64208,0.27817047,0.22265825,0.36510735,0.027517713,0,agribalyse
Sodium bicarbonate,Sodium Bicarbonate,1,1.191867219,0,0.96137784,0.099788277,0.10945482,0.021246282,0,agribalyse
"Beer, regular (4-5° alcohol)",Beer,1,1.094446408,0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.004799302,agribalyse
"Beer, ""specialty"", from abbey or regional (varying alcohol content)",Abbey Ale,1,1.094446408,0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.004799302,agribalyse
"Beer, special (5-6° alcohol)",Special Beer,1,1.094446408,0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.004799302,agribalyse
"Beer, dark",Dark Beer,1,1.094446408,0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.004799302,agribalyse
"Beer, low alcohol-content (3° alcohol)",Low-Alcohol Beer,1,1.094446408,0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.004799302,agribalyse
"Beer, strong (>8° alcohol)",Strong Beer,1,1.094446408,0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.004799302,agribalyse
"Beer, alcohol-free (<1,2° alcohol)",Alcohol-Free Beer,1,1.094446408,0.044404353,0.25081748,0.49690685,0.268586,0.028932423,0.004799302,agribalyse
"Rusk, w eggs",Rusk with eggs,1,0.866544331,0.36082874,0.25124368,0.10872893,0.13925777,0.006485211,0,agribalyse
Rusk,Toasted Breadcrumbs,1,0.866544331,0.36082874,0.25124368,0.10872893,0.13925777,0.006485211,0,agribalyse
"Rusk, wholemeal or rich in fibre",Wholemeal Rusk,1,0.866544331,0.36082874,0.25124368,0.10872893,0.13925777,0.006485211,0,agribalyse
"Rusk, multigrain",Multigrain Rusk,1,0.866544331,0.36082874,0.25124368,0.10872893,0.13925777,0.006485211,0,agribalyse
"Rusk, unsalted",Unsalted Rusk,1,0.866544331,0.36082874,0.25124368,0.10872893,0.13925777,0.006485211,0,agribalyse
"Salty snacks, made from potato",Crisps,2,1.869019417,1.0203258,0.34487873,0.28596322,0.18873101,0.029120657,0,agribalyse
"Salty snacks, puff pastry",Salty Puff Pastry Snacks,2,1.869019417,1.0203258,0.34487873,0.28596322,0.18873101,0.029120657,0,agribalyse
"Puffed salty snacks, made from maize/corn, with peanuts",Corn Peanut Puffs,2,1.869019417,1.0203258,0.34487873,0.28596322,0.18873101,0.029120657,0,agribalyse
"Puffed salty snacks, made from maize/corn, without peanuts",Corn Puffs,2,1.869019417,1.0203258,0.34487873,0.28596322,0.18873101,0.029120657,0,agribalyse
"Puffed salty snacks, made from potato",Potato Puffs,2,1.869019417,1.0203258,0.34487873,0.28596322,0.18873101,0.029120657,0,agribalyse
"Puffed salty snacks, made from potato and soy",Potato Soy Puffs,2,1.869019417,1.0203258,0.34487873,0.28596322,0.18873101,0.029120657,0,agribalyse
"Salty snacks, crackers, garnished or filled with cheese",Cheese Crackers,2,1.869019417,1.0203258,0.34487873,0.28596322,0.18873101,0.029120657,0,agribalyse
"Salty snacks, crackers, plain",Crackers,2,1.869019417,1.0203258,0.34487873,0.28596322,0.18873101,0.029120657,0,agribalyse
"Salty snacks, crackers, reduced fat",Crackers,2,1.869019417,1.0203258,0.34487873,0.28596322,0.18873101,0.029120657,0,agribalyse
"Salty snacks, mini pretzels or sticks",Salty Snacks,2,1.869019417,1.0203258,0.34487873,0.28596322,0.18873101,0.029120657,0,agribalyse
"Breakfast biscuit (cookie) with cereals, fortified with vitamins and chemical elements",Cereal Breakfast Biscuit,3,4.444761957,3.8424243,0.32913764,0.10869536,0.135384,0.029120657,0,agribalyse
Savoy-style sponge cake,Sponge Cake,2,2.254828227,1.6091684,0.17107083,0.30177462,0.14369372,0.029120657,0,agribalyse
"Soft cake, filled with fruit paste or fruit puree and sugar icing coated",Fruit-Filled Cake,3,3.395430567,2.7999527,0.30368711,0.10866676,0.15400334,0.029120657,0,agribalyse
Pastry biscuit with meringue,Meringue Pastry Biscuit,1,1.492483017,0.97778135,0.23460911,0.10864708,0.14232482,0.029120657,0,agribalyse
Biscuit for baby,Biscuit for babies,1,1.492483017,0.97778135,0.23460911,0.10864708,0.14232482,0.029120657,0,agribalyse
"Biscuit sponge cake with fruits covering, pre-packed",Fruit-Topped Biscuit Cake,3,3.395430567,2.7999527,0.30368711,0.10866676,0.15400334,0.029120657,0,agribalyse
Biscuit (cookie) vitamins content guaranteed,Biscuit,1,1.492483017,0.97778135,0.23460911,0.10864708,0.14232482,0.029120657,0,agribalyse
Biscuit (cookie) vitamins and chemical elements content guaranteed,Vitamin-Rich Biscuits,3,4.444761957,3.8424243,0.32913764,0.10869536,0.135384,0.029120657,0,agribalyse
"Biscuit shortbread, with butter",Shortbread,1,1.845980057,1.2419594,0.33215066,0.10868376,0.13406558,0.029120657,0,agribalyse
"Biscuit shortbread, with butter and chocolate",Chocolate Shortbread,4,7.549798877,6.8826501,0.36633542,0.10868541,0.16300729,0.029120657,0,agribalyse
"Biscuit (cookie), with milk",Cookies and Milk,3,3.531774277,2.9686482,0.29327068,0.10871215,0.13202259,0.029120657,0,agribalyse
"Biscuit (cookie) with fruits, reduced salt",Reduced Salt Biscuits,3,3.395430567,2.7999527,0.30368711,0.10866676,0.15400334,0.029120657,0,agribalyse
"Biscuit (cookie), sponge fingers or Lady fingers",Ladyfingers,1,1.492483017,0.97778135,0.23460911,0.10864708,0.14232482,0.029120657,0,agribalyse
"Biscuit (cookie), chocolate covering",Chocolate-Covered Biscuits,4,8.594667077,7.6223922,0.63034224,0.1086562,0.20415578,0.029120657,0,agribalyse
"Biscuit (cookie), covering with a chocolate bar",Chocolate-Covered Biscuit,4,8.594667077,7.6223922,0.63034224,0.1086562,0.20415578,0.029120657,0,agribalyse
"Biscuit (cookie), with chocolate, prepacked",Chocolate Chip Biscuit,4,7.549798877,6.8826501,0.36633542,0.10868541,0.16300729,0.029120657,0,agribalyse
"Biscuit sponge cake, with chocolate, pre-packed",Chocolate Biscuit Cake,4,7.549798877,6.8826501,0.36633542,0.10868541,0.16300729,0.029120657,0,agribalyse
"Biscuit shortbread, with chocolate, pre-packed",Chocolate Shortbread,4,7.549798877,6.8826501,0.36633542,0.10868541,0.16300729,0.029120657,0,agribalyse
"Biscuit (small tart), with chocolate, pre-packed",Chocolate Tart Biscuit,4,7.549798877,6.8826501,0.36633542,0.10868541,0.16300729,0.029120657,0,agribalyse
"Crispy biscuit (cookie), without chocolate, reduced fat",Reduced Fat Crispy Biscuit,3,4.878905337,4.2290255,0.32725415,0.1086305,0.18487453,0.029120657,0,agribalyse
"Crispy biscuit (cookie), with chocolate, reduced fat",Reduced Fat Chocolate Crispy Biscuit,4,7.549798877,6.8826501,0.36633542,0.10868541,0.16300729,0.029120657,0,agribalyse
Biscuit puff pastry,Puff Pastry Biscuits,3,4.950158847,4.3229689,0.3608253,0.10866967,0.12857432,0.029120657,0,agribalyse
Biscuit (cookie) filled with fruit paste or fruit puree,Fruit-Filled Biscuits,3,3.395430567,2.7999527,0.30368711,0.10866676,0.15400334,0.029120657,0,agribalyse
"Biscuit (cookie) filled with fruits, reduced fat",Fruit-Filled Reduced-Fat Biscuits,3,3.395430567,2.7999527,0.30368711,0.10866676,0.15400334,0.029120657,0,agribalyse
Biscuit (cookie) with nuts (no chocolate or lightly chocolate-flavoured),Nut Biscuit,3,4.878905337,4.2290255,0.32725415,0.1086305,0.18487453,0.029120657,0,agribalyse
"Biscuit (small tart), with fruit covering",Fruit-Topped Tartlets,3,3.395430567,2.7999527,0.30368711,0.10866676,0.15400334,0.029120657,0,agribalyse
"Biscuit (cookie), plain",Cookie,3,4.444761957,3.8424243,0.32913764,0.10869536,0.135384,0.029120657,0,agribalyse
"Biscuit (cookie), thin, w almonds",Almond Thin Biscuit,3,4.878905337,4.2290255,0.32725415,0.1086305,0.18487453,0.029120657,0,agribalyse
"Biscuit (cookie), reduced sugar",Reduced Sugar Biscuit,3,4.444761957,3.8424243,0.32913764,0.10869536,0.135384,0.029120657,0,agribalyse
Butter biscuit (cookie),Butter Biscuit,3,3.531774277,2.9686482,0.29327068,0.10871215,0.13202259,0.029120657,0,agribalyse
"Butter biscuit (cookie), with chocolate",Chocolate Butter Biscuit,4,7.549798877,6.8826501,0.36633542,0.10868541,0.16300729,0.029120657,0,agribalyse
Breakfast biscuit (cookie),Breakfast Biscuit Cookie,3,4.444761957,3.8424243,0.32913764,0.10869536,0.135384,0.029120657,0,agribalyse
"Breakfast biscuit (cookie), reduced sugar",Reduced Sugar Breakfast Biscuit,3,4.444761957,3.8424243,0.32913764,0.10869536,0.135384,0.029120657,0,agribalyse
